,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Fumbles,,,,,,Snap Counts,,,,,
Rk,Gcar,Gtm,Week,Date,Team,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
1,104,1,1,9/7/2025,BAL,@,BUF,"L, 40-41",*,14,19,73.7,209,2,0,11,13.1,144.4,2,15,6,70,1,11.7,0,0,0,0,0,0,51,100,0,0,0,0
2,105,2,2,9/14/2025,BAL,,CLE,"W, 41-17",*,19,29,65.5,225,4,0,7.8,10.5,128.6,3,28,2,13,0,6.5,0,0,0,0,0,0,53,94.6,0,0,0,0
3,106,3,3,9/22/2025,BAL,,DET,"L, 30-38",*,21,27,77.8,288,3,0,10.7,12.9,148.1,7,55,7,35,0,5,1,0,0,1,0,0,57,100,0,0,0,0
4,107,4,4,9/28/2025,BAL,@,KAN,"L, 20-37",*,14,20,70,147,1,1,7.4,6.1,86.9,3,5,6,48,0,8,1,1,0,0,0,0,38,69.1,0,0,0,0
5,108,8,9,10/30/2025,BAL,@,MIA,"W, 28-6",*,18,23,78.3,204,4,0,8.9,12.3,143.2,2,16,5,14,0,2.8,0,0,0,0,0,0,56,100,0,0,0,0
6,109,9,10,11/9/2025,BAL,@,MIN,"W, 27-19",*,17,29,58.6,176,1,0,6.1,6.8,87.7,1,7,9,36,0,4,1,0,0,0,0,0,70,100,0,0,0,0
7,110,10,11,11/16/2025,BAL,@,CLE,"W, 23-16",*,14,25,56,193,0,2,7.7,4.1,47.6,5,26,4,10,0,2.5,0,0,0,0,0,0,61,100,0,0,0,0
8,111,11,12,11/23/2025,BAL,,NYJ,"W, 23-10",*,13,23,56.5,153,0,0,6.7,6.7,76.9,1,10,7,11,0,1.6,1,0,0,1,0,0,63,100,0,0,0,0
9,112,12,13,11/27/2025,BAL,,CIN,"L, 14-32",*,17,32,53.1,246,0,1,7.7,6.3,65.4,3,23,6,27,0,4.5,2,2,0,0,0,0,60,100,0,0,0,0
10,113,13,14,12/7/2025,BAL,,PIT,"L, 22-27",*,19,35,54.3,219,1,1,6.3,5.5,71,2,16,7,43,1,6.1,0,0,0,0,0,0,80,100,0,0,0,0
11,114,14,15,12/14/2025,BAL,@,CIN,"W, 24-0",*,8,12,66.7,150,2,1,12.5,12.1,114.6,4,22,2,26,0,13,1,0,0,1,0,0,36,87.8,0,0,0,0
12,115,15,16,12/21/2025,BAL,,NWE,"L, 24-28",*,7,10,70,101,0,0,10.1,10.1,102.5,0,0,2,7,0,3.5,0,0,0,0,0,0,26,47.3,0,0,0,0
13,116,17,18,1/4/2026,BAL,@,PIT,"L, 24-26",*,11,18,61.1,238,3,1,13.2,14.1,121.5,3,16,4,9,0,2.3,0,0,0,0,0,0,51,100,0,0,0,0
,,,,,,,,7-Jun,,192,302,63.6,2549,21,7,8.4,8.8,103.8,36,239,67,349,2,5.2,7,3,0,3,0,0,702,92.9,0,0,0,0
